CF_Label,Age,Marital_Status,Education,Children,Income,Total_Spent,N,LS,SS,Centroid,Radius
0,43.41935483870968,1.5806451612903225,3.6451612903225805,1.0,55802.645161290326,466.48387096774195,31,"[1346, 49, 113, 31, 1729882, 14461]","[58580, 85, 419, 31, 98023229596, 7899847]","[43.41935483870968, 1.5806451612903225, 3.6451612903225805, 1.0, 55802.645161290326, 466.48387096774195]",6938.421208892413
1,44.05882352941177,3.5294117647058822,1.0,1.7647058823529411,40808.705882352944,108.58823529411765,17,"[749, 60, 17, 30, 693748, 1846]","[33065, 216, 17, 56, 29074277148, 345796]","[44.05882352941177, 3.5294117647058822, 1.0, 1.7647058823529411, 40808.705882352944, 108.58823529411765]",6701.468117827304
2,43.274193548387096,1.9838709677419355,3.5,1.0,34175.27419354839,87.6774193548387,62,"[2683, 123, 217, 62, 2118867, 5436]","[116565, 245, 775, 62, 76125606019, 950640]","[43.274193548387096, 1.9838709677419355, 3.5, 1.0, 34175.27419354839, 87.6774193548387]",7738.904457673251
3,59.083333333333336,3.4166666666666665,3.75,2.0,44223.416666666664,137.75,12,"[709, 41, 45, 24, 530681, 1653]","[41913, 143, 171, 48, 24382501741, 348793]","[59.083333333333336, 3.4166666666666665, 3.75, 2.0, 44223.416666666664, 137.75]",8727.809391298222
4,33.666666666666664,2.6666666666666665,2.6666666666666665,0.0,9819.333333333334,60.666666666666664,3,"[101, 8, 8, 0, 29458, 182]","[3433, 22, 22, 0, 297326882, 16684]","[33.666666666666664, 2.6666666666666665, 2.6666666666666665, 0.0, 9819.333333333334, 60.666666666666664]",1640.5931176796319
5,45.61290322580645,2.096774193548387,1.064516129032258,2.0,56702.8064516129,437.0,31,"[1414, 65, 33, 62, 1757787, 13547]","[64738, 139, 37, 124, 101310953955, 7785963]","[45.61290322580645, 2.096774193548387, 1.064516129032258, 2.0, 56702.8064516129, 437.0]",7276.484619104956
6,37.5,2.75,1.25,0.0,88103.5,907.25,4,"[150, 11, 5, 0, 352414, 3629]","[5658, 31, 7, 0, 31353871506, 3370633]","[37.5, 2.75, 1.25, 0.0, 88103.5, 907.25]",8732.738892380787
7,43.125,2.0,3.75,0.0,45024.0,384.0,8,"[345, 16, 30, 0, 360192, 3072]","[14951, 32, 114, 0, 16900664052, 1256082]","[43.125, 2.0, 3.75, 0.0, 45024.0, 384.0]",9242.942932144231
8,42.666666666666664,1.6666666666666667,2.0,2.6666666666666665,32742.0,161.66666666666666,3,"[128, 5, 6, 8, 98226, 485]","[5464, 9, 12, 22, 3268189188, 93011]","[42.666666666666664, 1.6666666666666667, 2.0, 2.6666666666666665, 32742.0, 161.66666666666666]",4166.8574356328645
9,50.2,2.1,3.7,2.0,45429.63333333333,143.3,30,"[1506, 63, 111, 60, 1362889, 4299]","[76002, 135, 417, 120, 63623691747, 1151341]","[50.2, 2.1, 3.7, 2.0, 45429.63333333333, 143.3]",7546.919696288178
10,57.0,5.0,3.0,2.0,61331.0,632.0,1,"[57, 5, 3, 2, 61331, 632]","[3249, 25, 9, 4, 3761491561, 399424]","[57.0, 5.0, 3.0, 2.0, 61331.0, 632.0]",0.0
11,42.0,5.0,4.0,1.3333333333333333,44241.333333333336,299.0,3,"[126, 15, 12, 4, 132724, 897]","[5292, 75, 48, 6, 5977256848, 361953]","[42.0, 5.0, 4.0, 1.3333333333333333, 44241.333333333336, 299.0]",5929.133532350581
12,37.0,5.0,1.0,1.0,34176.0,89.0,1,"[37, 5, 1, 1, 34176, 89]","[1369, 25, 1, 1, 1167998976, 7921]","[37.0, 5.0, 1.0, 1.0, 34176.0, 89.0]",0.0
13,44.888888888888886,1.5555555555555556,3.388888888888889,2.0,57737.666666666664,562.4444444444445,18,"[808, 28, 61, 36, 1039278, 10124]","[36458, 48, 211, 72, 61005196012, 6182900]","[44.888888888888886, 1.5555555555555556, 3.388888888888889, 2.0, 57737.666666666664, 562.4444444444445]",7454.298472635525
14,57.6,3.6,3.2,1.0,50104.0,240.2,5,"[288, 18, 16, 5, 250520, 1201]","[16612, 66, 52, 5, 12654032842, 375287]","[57.6, 3.6, 3.2, 1.0, 50104.0, 240.2]",4518.087958417819
15,52.13333333333333,3.1333333333333333,1.3333333333333333,1.0,60440.933333333334,847.6666666666666,15,"[782, 47, 20, 15, 906614, 12715]","[40938, 149, 30, 15, 55761618934, 11264347]","[52.13333333333333, 3.1333333333333333, 1.3333333333333333, 1.0, 60440.933333333334, 847.6666666666666]",8022.921500578496
16,47.38461538461539,3.1538461538461537,3.6153846153846154,1.0,61753.0,806.0,13,"[616, 41, 47, 13, 802789, 10478]","[29232, 131, 173, 13, 50406066651, 9305068]","[47.38461538461539, 3.1538461538461537, 3.6153846153846154, 1.0, 61753.0, 806.0]",8001.429592680752
