Age,Education,Marital_Status,Children,Income,Days_Since_Enroll,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,Total_Spent,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Total_Purchases,Online_Ratio,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Complain,Response
58,1,0,0,58138,2578,58,635,88,546,172,88,88,3,1617,8,10,4,25,"0,32",7,0,0,0,0,0,0,1
56,1,0,2,46344,2028,38,11,1,6,2,1,6,2,27,1,1,2,6,"0,166666667",5,0,0,0,0,0,0,0
50,1,1,0,71613,2227,26,426,49,127,111,21,42,1,776,8,2,10,21,"0,380952381",4,0,0,0,0,0,0,0
41,1,1,1,26646,2054,26,11,4,20,10,3,5,2,53,2,0,4,8,"0,25",6,0,0,0,0,0,0,0
44,4,2,1,58293,2076,94,173,43,118,46,27,15,5,422,5,3,6,19,"0,263157895",5,0,0,0,0,0,0,0
48,3,1,1,62513,2208,16,520,42,98,0,42,14,2,716,6,4,10,22,"0,272727273",6,0,0,0,0,0,0,0
44,1,3,1,55635,2508,34,235,65,164,50,49,27,4,590,7,3,7,21,"0,333333333",6,0,0,0,0,0,0,0
40,4,2,1,33454,2332,32,76,10,56,3,1,23,2,169,4,0,4,10,"0,4",8,0,0,0,0,0,0,0
41,4,1,1,30351,2303,19,14,0,24,3,3,2,1,46,3,0,2,6,"0,5",9,0,0,0,0,0,0,1
60,4,1,2,5648,2023,68,28,0,6,1,1,13,1,49,1,0,0,2,"0,5",20,0,0,1,0,0,0,0
49,0,2,0,7500,2508,59,6,16,11,11,1,16,1,61,2,0,3,6,"0,333333333",8,0,0,0,0,0,0,0
56,1,3,0,63033,2141,82,194,61,480,225,112,30,1,1102,3,4,8,16,"0,1875",2,0,0,0,0,0,0,0
58,3,3,2,59354,2141,53,233,2,53,3,5,14,3,310,6,1,5,15,"0,4",6,0,0,0,0,0,0,0
38,1,2,0,17323,2542,38,3,14,17,6,1,5,1,46,1,0,3,5,"0,2",8,0,0,0,0,0,0,0
64,4,0,0,82800,2497,23,1006,22,115,59,68,45,1,1315,7,6,12,26,"0,269230769",3,1,0,0,0,1,0,1
45,1,2,2,41850,2467,51,53,5,19,2,13,4,3,96,3,0,3,9,"0,333333333",8,0,0,0,0,0,0,0
64,1,1,0,37760,2582,20,84,5,38,150,12,28,2,317,4,1,6,13,"0,307692308",7,0,0,0,0,0,0,0
61,3,2,1,76995,2373,91,1012,80,498,0,16,176,2,1782,11,4,9,26,"0,423076923",5,1,0,0,0,0,0,0
40,2,0,1,33812,2518,86,4,17,19,30,24,39,2,133,2,1,3,8,"0,25",6,0,0,0,0,0,0,0
43,1,2,0,37040,2605,41,86,2,73,69,38,48,1,316,4,2,5,12,"0,333333333",8,0,0,0,0,0,0,0
46,1,2,1,2447,2454,42,1,1,1725,1,1,1,15,1730,0,28,0,43,0,1,0,0,0,0,0,0,0
61,4,2,1,58607,2468,63,867,0,86,0,0,19,3,972,2,3,9,17,"0,117647059",8,0,0,0,1,0,0,0
56,4,2,1,65324,2084,0,384,0,102,21,32,5,3,544,6,2,9,20,"0,3",4,0,0,0,0,0,0,0
59,1,1,1,40689,2383,69,270,3,27,39,6,99,7,444,7,1,5,20,"0,35",8,0,0,0,0,0,0,0
46,1,0,0,18589,2458,89,6,4,25,15,12,13,2,75,2,1,3,8,"0,25",7,0,0,0,0,0,0,0
49,1,2,2,53359,2313,4,173,4,30,3,6,41,4,257,5,1,4,14,"0,357142857",7,0,0,0,0,0,0,0
36,1,2,1,38360,2309,26,36,2,42,20,21,10,2,131,2,1,4,9,"0,222222222",3,0,0,0,0,0,0,0
50,4,2,0,84618,2134,96,684,100,801,21,66,0,1,1672,6,9,10,26,"0,230769231",2,0,0,0,0,1,0,0
36,3,3,0,10979,1953,34,8,4,10,2,2,4,2,30,3,0,3,8,"0,375",5,0,0,0,0,0,0,0
52,3,1,0,38620,2329,56,112,17,44,34,22,89,1,318,2,5,3,11,"0,181818182",3,0,0,0,0,0,0,0
45,1,1,1,40548,2542,31,110,0,5,2,0,3,2,120,2,1,4,9,"0,222222222",5,0,0,0,1,0,0,0
58,4,3,2,46610,2523,8,96,12,96,33,22,43,6,302,4,1,6,17,"0,235294118",6,0,0,0,0,0,0,1
64,3,2,0,68657,2409,4,482,34,471,119,68,22,1,1196,3,5,9,18,"0,166666667",7,0,0,0,0,0,0,0
59,3,0,2,49389,2219,55,40,0,19,2,1,3,1,65,2,0,3,6,"0,333333333",7,0,0,0,0,0,0,0
45,4,2,1,67353,2095,37,702,17,151,0,8,35,5,913,5,6,12,28,"0,178571429",2,0,0,0,0,0,0,0
49,2,2,1,23718,2215,76,6,3,14,15,7,36,3,81,3,1,2,9,"0,333333333",7,0,0,0,0,0,0,0
42,1,4,1,42429,2053,99,55,0,6,2,0,4,2,67,1,1,3,7,"0,142857143",5,0,0,0,0,0,0,0
67,4,3,0,48948,2428,53,437,8,206,160,49,42,2,902,7,10,5,24,"0,291666667",6,0,0,1,0,0,0,1
45,1,2,1,80011,2341,3,421,76,536,82,178,102,2,1395,8,6,5,21,"0,380952381",4,0,0,0,0,0,0,0
40,3,2,1,20559,2389,88,13,1,29,3,0,7,2,53,2,0,3,7,"0,285714286",8,0,0,0,0,0,0,0
58,1,1,1,21994,2467,4,9,0,6,3,1,3,1,22,0,0,3,4,0,5,0,0,0,0,0,0,0
40,3,2,1,7500,2185,19,3,1,10,3,2,12,3,31,2,0,3,8,"0,25",5,0,0,0,0,0,0,0
49,1,0,0,79941,1916,72,123,164,266,227,30,174,1,984,2,4,9,16,"0,125",1,0,0,0,0,0,0,0
29,2,2,0,7500,2512,24,3,18,14,15,22,50,3,122,3,1,3,10,"0,3",9,0,0,0,0,0,0,1
47,1,1,1,41728,2316,92,13,6,15,3,5,13,1,55,2,0,2,5,"0,4",10,0,0,0,0,0,0,0
56,4,2,2,72550,2513,39,826,50,317,50,38,38,9,1319,5,2,12,28,"0,178571429",8,0,0,0,0,0,0,0
58,1,4,1,65486,1963,29,245,19,125,37,67,14,1,507,4,2,10,17,"0,235294118",2,0,0,0,0,0,0,0
51,3,2,0,79143,2602,2,650,37,780,27,167,32,1,1693,6,9,13,29,"0,206896552",3,0,0,0,0,0,0,0
48,1,0,1,35790,2458,54,12,6,20,30,1,3,2,72,2,0,3,7,"0,285714286",7,0,0,0,0,0,0,0
48,1,3,0,82582,1937,54,510,120,550,156,40,241,1,1617,4,9,7,21,"0,19047619",1,1,0,1,0,0,0,1
47,1,2,2,66373,2297,57,328,9,124,12,24,109,7,606,4,2,10,23,"0,173913043",3,0,0,0,0,0,0,0
55,3,1,0,82384,2502,55,984,51,432,180,120,190,1,1957,3,10,13,27,"0,111111111",1,0,0,0,0,1,0,1
49,1,3,0,70287,2368,30,295,35,482,121,120,40,1,1093,5,5,10,21,"0,238095238",3,0,0,0,0,0,0,1
37,1,0,1,27938,1977,31,13,0,8,2,1,5,1,29,1,0,4,6,"0,166666667",3,0,0,0,0,0,0,0
47,4,2,1,55954,2033,63,447,0,28,0,0,43,3,518,8,2,6,19,"0,421052632",7,0,0,0,0,0,0,0
43,3,0,0,75777,2275,12,712,26,538,69,13,80,1,1438,3,6,11,21,"0,142857143",1,0,0,0,1,1,0,1
40,1,1,2,66653,2575,18,452,18,102,16,18,6,4,612,4,2,12,22,"0,181818182",3,0,0,0,0,0,0,0
58,1,0,1,61823,2411,26,523,7,134,37,14,169,4,884,8,2,10,24,"0,333333333",7,0,0,0,0,0,0,0
59,4,4,1,67680,2298,8,546,0,48,0,6,6,1,606,7,3,8,19,"0,368421053",5,0,0,0,0,0,0,0
62,1,1,0,70666,2120,29,398,40,367,119,122,30,1,1076,7,4,4,16,"0,4375",4,0,0,0,0,0,0,0
44,1,2,1,25721,2319,75,1,3,6,3,6,15,1,34,1,1,2,5,"0,2",7,0,0,0,0,0,0,1
48,1,1,2,32474,1964,0,10,0,1,0,0,0,1,11,1,0,2,4,"0,25",7,0,0,0,0,0,0,0
46,2,0,1,88194,2017,19,688,14,309,201,24,38,1,1274,11,10,10,32,"0,34375",5,1,0,1,0,0,0,1
57,1,1,1,69096,2190,4,247,49,159,7,82,109,1,653,5,2,10,18,"0,277777778",4,0,0,0,0,0,0,0
45,1,1,3,74854,2362,90,856,59,487,58,29,73,7,1562,2,5,5,19,"0,105263158",5,0,0,0,0,0,0,0
56,3,2,0,66991,2571,1,496,36,460,189,60,12,3,1253,4,8,6,21,"0,19047619",3,0,0,0,0,0,0,0
56,1,2,1,65031,2384,29,258,107,291,84,37,86,4,863,10,3,13,30,"0,333333333",7,0,0,0,0,0,0,0
40,4,2,2,60631,2365,88,565,6,65,0,6,19,5,661,9,2,8,24,"0,375",7,0,0,0,1,0,0,0
58,1,2,0,28332,1975,58,14,10,13,4,15,9,1,65,2,1,4,8,"0,25",2,0,0,0,0,0,0,0
48,1,3,1,40246,2472,68,2,1,6,2,1,1,1,13,1,0,2,4,"0,25",6,0,0,0,0,0,0,0
43,3,2,0,75251,2586,34,721,111,925,97,18,18,1,1890,7,6,5,19,"0,368421053",5,0,0,0,0,0,0,1
49,1,0,0,75825,2540,40,1032,105,779,137,105,51,0,2209,5,8,9,22,"0,227272727",4,0,0,1,0,0,0,1
49,2,1,0,26326,2213,12,1,0,5,0,3,9,1,18,0,0,3,4,0,3,0,0,0,0,0,1,0
50,1,1,0,56046,2458,9,577,0,64,0,0,51,2,692,10,1,8,21,"0,476190476",8,0,0,1,0,0,0,1
40,1,0,1,29760,2584,87,64,4,68,7,5,17,4,165,3,1,4,12,"0,25",8,0,0,0,0,0,0,0
46,1,2,1,26304,2286,5,4,1,5,2,0,4,1,16,1,0,2,4,"0,25",7,0,0,0,0,0,0,0
42,2,2,1,23559,2276,87,25,5,19,7,0,23,3,79,3,0,3,9,"0,333333333",7,0,0,0,0,0,0,0
52,3,1,0,38620,2329,56,112,17,44,34,22,89,1,318,2,5,3,11,"0,181818182",3,0,0,0,0,0,0,0
38,1,3,0,81361,2039,18,163,23,424,27,65,76,1,778,3,10,13,27,"0,111111111",1,0,0,0,0,0,0,0
55,1,2,2,29440,2237,95,17,8,14,10,4,3,2,56,1,0,4,7,"0,142857143",7,0,0,0,0,0,0,0
45,3,2,2,36138,2263,48,130,0,16,0,0,5,5,151,3,1,4,13,"0,230769231",7,0,0,0,1,0,0,0
58,1,0,1,50388,1947,3,292,6,37,0,3,34,4,372,6,1,6,17,"0,352941176",7,1,0,0,1,0,0,1
42,1,2,0,79593,1963,70,350,60,568,110,133,145,1,1366,5,6,7,19,"0,263157895",2,0,0,0,0,1,0,0
48,1,1,1,54178,2074,79,135,9,39,4,0,7,1,194,2,2,5,10,"0,2",2,0,0,0,0,0,0,0
43,3,0,1,42394,2013,69,15,2,10,0,1,4,1,32,1,0,3,5,"0,2",7,0,0,0,0,0,0,0
45,4,2,1,23626,1951,84,27,2,14,0,0,0,3,43,3,1,3,10,"0,3",5,0,0,0,0,0,0,0
42,1,2,1,30096,1953,30,5,3,11,12,5,9,1,45,2,0,3,6,"0,333333333",6,0,0,0,0,0,0,0
55,1,4,1,47916,2499,72,505,0,26,0,0,75,5,606,7,4,6,22,"0,318181818",6,0,0,0,1,0,0,0
43,1,3,2,51813,2359,37,51,2,7,0,1,2,2,63,2,0,3,7,"0,285714286",7,0,0,0,0,0,0,0
59,2,2,0,78497,2125,44,207,26,447,75,0,223,1,978,5,7,12,25,"0,2",2,1,0,0,0,0,0,0
