Year_Birth,Education,Marital_Status,Income,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Customer_Age,Age_Group,Total_Spending,Children
1957,Graduation,Single,58138.0,2012-09-04,58,635,81,546,120.5,81,88.0,3,8,10,4,7,0,0,0,0,0,0,1,58,50–59,1617,0
1954,Graduation,Single,46344.0,2014-03-08,38,11,1,6,2.0,1,6.0,2,1,1,2,5,0,0,0,0,0,0,0,61,60+,27,2
1965,Graduation,Together,71613.0,2013-08-21,26,426,49,127,111.0,21,42.0,1,8,2,10,4,0,0,0,0,0,0,0,50,50–59,776,0
1984,Graduation,Together,26646.0,2014-02-10,26,11,4,20,10.0,3,5.0,2,2,0,4,6,0,0,0,0,0,0,0,31,30–39,53,1
1981,PhD,Married,58293.0,2014-01-19,94,173,43,118,46.0,27,15.0,5,5,3,6,5,0,0,0,0,0,0,0,34,30–39,422,1
1967,Master,Together,62513.0,2013-09-09,16,520,42,98,0.0,42,14.0,2,6,4,10,6,0,0,0,0,0,0,0,48,40–49,716,1
1971,Graduation,Divorced,55635.0,2012-11-13,34,235,65,164,50.0,49,27.0,4,7,3,7,6,0,0,0,0,0,0,0,44,40–49,590,1
1985,PhD,Married,33454.0,2013-05-08,32,76,10,56,3.0,1,23.0,2,4,0,4,8,0,0,0,0,0,0,0,30,30–39,169,1
1974,PhD,Together,30351.0,2013-06-06,19,14,0,24,3.0,3,2.0,1,3,0,2,9,0,0,0,0,0,0,1,41,40–49,46,1
1950,PhD,Together,5648.0,2014-03-13,68,28,0,6,1.0,1,13.0,1,1,0,0,20,1,0,0,0,0,0,0,65,60+,49,2
1983,Graduation,Married,51381.5,2013-11-15,11,5,5,6,0.0,2,1.0,1,1,0,2,7,0,0,0,0,0,0,0,32,30–39,19,1
1976,Basic,Married,7500.0,2012-11-13,59,6,16,11,11.0,1,16.0,1,2,0,3,8,0,0,0,0,0,0,0,39,30–39,61,0
1959,Graduation,Divorced,63033.0,2013-11-15,82,194,61,480,120.5,81,30.0,1,3,4,8,2,0,0,0,0,0,0,0,56,50–59,1102,0
1952,Master,Divorced,59354.0,2013-11-15,53,233,2,53,3.0,5,14.0,3,6,1,5,6,0,0,0,0,0,0,0,63,60+,310,2
1987,Graduation,Married,17323.0,2012-10-10,38,3,14,17,6.0,1,5.0,1,1,0,3,8,0,0,0,0,0,0,0,28,<30,46,0
1946,PhD,Single,82800.0,2012-11-24,23,1006,22,115,59.0,68,45.0,1,7,6,12,3,0,0,1,1,0,0,1,69,60+,1315,0
1980,Graduation,Married,41850.0,2012-12-24,51,53,5,19,2.0,13,4.0,3,3,0,3,8,0,0,0,0,0,0,0,35,30–39,96,2
1946,Graduation,Together,37760.0,2012-08-31,20,84,5,38,120.5,12,28.0,2,4,1,6,7,0,0,0,0,0,0,0,69,60+,317,0
1949,Master,Married,76995.0,2013-03-28,91,1012,80,498,0.0,16,126.5,2,11,4,9,5,0,0,0,1,0,0,0,66,60+,1782,1
1985,2n Cycle,Single,33812.0,2012-11-03,86,4,17,19,30.0,24,39.0,2,2,1,3,6,0,0,0,0,0,0,0,30,30–39,133,1
1982,Graduation,Married,37040.0,2012-08-08,41,86,2,73,69.0,38,48.0,1,4,2,5,8,0,0,0,0,0,0,0,33,30–39,316,0
1979,Graduation,Married,2447.0,2013-01-06,42,1,1,556,1.0,1,1.0,15,0,28,0,1,0,0,0,0,0,0,0,36,30–39,1730,1
1949,PhD,Married,58607.0,2012-12-23,63,867,0,86,0.0,0,19.0,3,2,3,9,8,0,1,0,0,0,0,0,66,60+,972,1
1954,PhD,Married,65324.0,2014-01-11,0,384,0,102,21.0,32,5.0,3,6,2,9,4,0,0,0,0,0,0,0,61,60+,544,1
1951,Graduation,Together,40689.0,2013-03-18,69,270,3,27,39.0,6,99.0,7,7,1,5,8,0,0,0,0,0,0,0,64,60+,444,1
1969,Graduation,Single,18589.0,2013-01-02,89,6,4,25,15.0,12,13.0,2,2,1,3,7,0,0,0,0,0,0,0,46,40–49,75,0
1976,Graduation,Married,53359.0,2013-05-27,4,173,4,30,3.0,6,41.0,4,5,1,4,7,0,0,0,0,0,0,0,39,30–39,257,2
