CF_Label,Age,Children,Income,Total_Spent,N,LS,SS,Centroid,Radius
0,60.0,2.0,5648.0,49.0,1,"[60, 2, 5648, 49]","[3600, 4, 31899904, 2401]","[60.0, 2.0, 5648.0, 49.0]",0.0
1,49.0,0.0,7500.0,61.0,1,"[49, 0, 7500, 61]","[2401, 0, 56250000, 3721]","[49.0, 0.0, 7500.0, 61.0]",0.0
2,46.0,1.0,2447.0,1730.0,1,"[46, 1, 2447, 1730]","[2116, 1, 5987809, 2992900]","[46.0, 1.0, 2447.0, 1730.0]",0.0
3,47.5,1.0,7500.0,62.0,2,"[95, 2, 15000, 124]","[4517, 2, 112500000, 7850]","[47.5, 1.0, 7500.0, 62.0]",9.12414379544733
4,58.0,1.0,6835.0,137.0,1,"[58, 1, 6835, 137]","[3364, 1, 46717225, 18769]","[58.0, 1.0, 6835.0, 137.0]",0.0
5,44.0,0.0,1730.0,8.0,1,"[44, 0, 1730, 8]","[1936, 0, 2992900, 64]","[44.0, 0.0, 1730.0, 8.0]",0.0
6,47.0,2.0,7500.0,57.0,1,"[47, 2, 7500, 57]","[2209, 4, 56250000, 3249]","[47.0, 2.0, 7500.0, 57.0]",0.0
7,43.0,0.0,6560.0,373.0,1,"[43, 0, 6560, 373]","[1849, 0, 43033600, 139129]","[43.0, 0.0, 6560.0, 373.0]",0.0
8,42.0,1.0,3502.0,5.0,1,"[42, 1, 3502, 5]","[1764, 1, 12264004, 25]","[42.0, 1.0, 3502.0, 5.0]",0.0
9,49.0,2.0,7144.0,416.0,1,"[49, 2, 7144, 416]","[2401, 4, 51036736, 173056]","[49.0, 2.0, 7144.0, 416.0]",0.0
10,52.0,2.0,4023.0,9.0,1,"[52, 2, 4023, 9]","[2704, 4, 16184529, 81]","[52.0, 2.0, 4023.0, 9.0]",0.0
11,46.0,1.0,4428.0,359.0,1,"[46, 1, 4428, 359]","[2116, 1, 19607184, 128881]","[46.0, 1.0, 4428.0, 359.0]",0.0
12,40.0,1.0,7500.0,100.0,1,"[40, 1, 7500, 100]","[1600, 1, 56250000, 10000]","[40.0, 1.0, 7500.0, 100.0]",0.0
13,58.0,2.0,8820.0,35.0,1,"[58, 2, 8820, 35]","[3364, 4, 77792400, 1225]","[58.0, 2.0, 8820.0, 35.0]",0.0
14,49.0,1.0,5305.0,32.0,1,"[49, 1, 5305, 32]","[2401, 1, 28143025, 1024]","[49.0, 1.0, 5305.0, 32.0]",0.0
15,36.0,0.0,10979.0,30.0,2,"[72, 0, 21958, 60]","[2592, 0, 241076882, 1800]","[36.0, 0.0, 10979.0, 30.0]",0.0
16,40.333333333333336,1.0,7500.0,41.333333333333336,3,"[121, 3, 22500, 124]","[4885, 3, 168750000, 5506]","[40.333333333333336, 1.0, 7500.0, 41.333333333333336]",11.333333333333309
17,29.0,0.0,7500.0,122.0,1,"[29, 0, 7500, 122]","[841, 0, 56250000, 14884]","[29.0, 0.0, 7500.0, 122.0]",0.0
18,40.666666666666664,1.0,16544.166666666668,49.833333333333336,6,"[244, 6, 99265, 299]","[9924, 6, 1651292141, 15451]","[40.666666666666664, 1.0, 16544.166666666668, 49.833333333333336]",1227.191169568382
19,35.75,1.0,25307.25,37.25,4,"[143, 4, 101229, 149]","[5115, 4, 2562945827, 5625]","[35.75, 1.0, 25307.25, 37.25]",528.7471631129571
20,44.0,1.0,10245.0,41.0,1,"[44, 1, 10245, 41]","[1936, 1, 104960025, 1681]","[44.0, 1.0, 10245.0, 41.0]",0.0
