L2_Label,N,Centroid_scaled
0,19,[ 2.0383253  -1.2641948   0.37569394  0.72362745]
1,60,[ 1.14846214  0.06594249 -0.03731542  0.00979747]
2,10,[ 1.05584192  0.06594249 -0.32916606 -1.40461398]
3,55,[ 1.10100384  1.39607979 -0.35493723 -1.18552247]
4,16,[ 0.76535123 -1.2641948  -1.31648281 -0.76026582]
5,112,[-0.1345384   0.06594249 -0.79443865 -1.11363318]
6,17,[ 0.52637125 -1.2641948   0.07698005  0.0798011 ]
7,100,[-0.95485884  0.06594249 -0.46799022 -1.04564911]
8,49,[-0.05989664  1.39607979 -0.53263034 -1.59942987]
9,111,[-0.338923    0.06594249 -0.03299496 -0.09770829]
10,70,[-1.11772608  0.06594249 -1.22205993 -1.03106461]
11,56,[-1.08705315  0.06594249  0.10032898  0.34956265]
12,13,[-1.40604237 -1.2641948  -0.52091821 -0.13205331]
13,42,[-0.18791531  1.39607979 -0.62996771 -0.88912772]
14,40,[-0.61974205  1.39607979 -0.04150284 -0.84350858]
15,173,[ 0.69709066 -1.2641948   0.98015973  1.06826434]
16,171,[-0.92099165 -1.2641948   1.04390598  1.12961534]
17,14,[ 1.25551668 -1.2641948   0.41906337  0.81738048]
18,208,[0.14882766 0.06594249 0.54504033 0.72970333]
19,74,[-0.74399423  0.06594249  0.71276785  0.91174482]
20,150,[1.11758873 0.06594249 0.67525462 0.82806493]
21,3,[-1.89397173 -1.2641948   0.12795773  0.49362838]
22,68,[-0.41345156  1.39607979  0.31185322  0.3377908 ]
23,34,[0.46445934 1.39607979 0.6773133  0.62058045]
24,19,[1.32040781 1.39607979 0.44980047 0.65676735]
25,46,[ 0.38553511  1.39607979 -0.17182905 -0.39506112]
26,9,[ 0.3607225   2.72621708 -0.4079637  -1.02556733]
27,5,[ 0.8790215   2.72621708 -0.43256445 -1.9835212 ]
28,14,[ 0.40148608  1.39607979 -1.65182668 -1.14683249]
29,8,[ 1.4705279   1.39607979 -0.52674625 -1.91226567]
30,28,[ 1.37279552  1.39607979  0.01121194 -0.21657007]
31,3,[-0.32223468  2.72621708 -0.71111184 -2.11733147]
32,3,[-1.05196974  1.39607979 -2.04261119 -1.31061506]
33,13,[-1.53558114 -1.2641948  -1.30798176 -0.90476591]
34,8,[-0.46607668 -1.2641948  -1.99957457 -0.81922393]
35,29,[-1.36651071  0.06594249 -1.10099122 -1.61529616]
36,3,[ 0.01456612  0.06594249 -0.96847029 -1.95517205]
