CF_Label,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,N,Radius_scaled
0,520.0,42.0,98.0,0.0,42.0,14.0,1,0.0
1,78.5,10.5,53.0,3.0,1.5,31.0,2,0.1575693814059356
2,258.5,2.5,68.5,3.5,6.0,18.5,2,0.10896938655435355
3,1106.0,80.5,527.0,0.0,29.0,126.5,2,0.14936920869644094
4,270.0,3.0,27.0,39.0,6.0,99.0,2,0.0
5,173.0,4.0,30.0,3.0,6.0,41.0,1,0.0
6,5.0,1.0,3.0,3.0,81.0,126.5,1,0.0
7,652.6666666666666,10.0,95.0,0.0,7.0,25.666666666666668,3,0.18227342193258403
8,328.0,9.0,124.0,12.0,24.0,109.0,2,0.0
9,232.33333333333334,4.0,33.666666666666664,0.0,2.3333333333333335,38.333333333333336,3,0.19324830196009937
10,51.0,2.0,7.0,0.0,1.0,2.0,1,0.0
11,606.0,11.0,48.333333333333336,0.0,6.333333333333333,51.666666666666664,3,0.1584954252666239
12,96.0,1.0,79.0,7.0,1.0,79.0,1,0.0
13,184.0,1.5,34.5,0.0,1.5,4.0,2,0.1418320692654833
14,261.75,7.25,79.0,0.0,9.5,109.25,4,0.1861955259712939
15,140.0,4.0,61.0,0.0,13.0,4.0,1,0.0
16,482.0,25.5,113.5,0.0,6.0,63.5,2,0.1681430897365345
17,607.6666666666666,22.0,213.0,0.0,23.333333333333332,96.33333333333333,3,0.1646245270662576
18,1379.0,33.0,216.0,0.0,33.0,66.0,1,0.0
19,181.66666666666666,4.666666666666667,51.0,0.0,8.0,22.0,3,0.1854944588585592
20,450.4,81.0,389.8,0.0,66.6,104.3,5,0.1805607895703609
21,777.0,56.5,518.0,0.0,34.5,20.0,2,0.18637598002547856
22,547.0,7.0,140.0,0.0,7.0,63.0,1,0.0
23,670.0,9.0,249.0,0.0,28.0,9.0,1,0.0
24,421.0,5.0,90.0,0.0,16.0,10.0,1,0.0
25,189.0,2.0,55.0,0.0,5.0,12.0,1,0.0
26,151.0,7.0,89.0,0.0,7.0,28.0,1,0.0
27,154.0,20.0,66.0,0.0,12.0,27.0,1,0.0
28,1224.0,28.0,140.0,0.0,14.0,126.5,1,0.0
29,169.0,28.5,556.0,0.0,30.5,84.0,2,0.13591179781150364
30,1067.0,81.0,556.0,0.0,19.0,39.0,1,0.0
31,95.0,11.0,35.0,0.0,4.0,7.0,1,0.0
32,371.0,32.0,189.0,0.0,58.0,6.0,1,0.0
33,647.5,7.0,88.0,0.0,22.5,34.0,2,0.12510099962771792
34,283.0,10.0,38.0,0.0,13.0,27.0,1,0.0
35,625.5,56.0,489.0,0.0,69.5,35.5,2,0.17688471571204728
36,443.0,10.0,75.0,0.0,10.0,48.0,1,0.0
37,674.0,62.0,134.0,0.0,26.0,8.0,1,0.0
38,909.0,63.0,273.0,0.0,18.5,12.0,2,0.11254829710649175
39,98.0,1.0,17.0,0.0,1.0,5.0,1,0.0
40,940.0,44.0,396.0,0.0,81.0,58.0,1,0.0
41,136.0,1.0,12.0,0.0,3.0,32.0,1,0.0
42,163.0,48.0,90.0,0.0,45.0,52.0,1,0.0
43,777.0,30.0,163.0,0.0,51.0,122.0,1,0.0
44,198.0,2.0,43.0,0.0,12.0,20.0,1,0.0
45,179.0,21.0,273.0,0.0,21.0,63.0,1,0.0
46,560.0,31.5,173.5,0.0,11.5,31.0,2,0.1710491494239533
47,979.5,13.0,300.0,0.0,13.0,119.25,2,0.0688881664346714
48,239.0,3.0,141.0,0.0,7.0,23.0,1,0.0
49,724.0,17.0,143.0,0.0,8.0,126.5,1,0.0
50,546.0,0.0,48.0,0.0,6.0,6.0,1,0.0
51,1.0,0.0,5.0,0.0,3.0,9.0,1,0.0
52,789.0,0.0,133.0,0.0,28.0,126.5,1,0.0
53,1241.0,0.0,80.0,0.0,13.0,40.0,1,0.0
54,800.0,0.0,297.0,0.0,34.0,57.0,1,0.0
55,538.5,0.0,54.5,0.0,5.5,26.0,2,0.14754953688114347
56,284.0,0.0,55.0,0.0,6.0,52.0,1,0.0
57,30.0,0.0,5.5,0.0,1.0,6.5,2,0.09012216967924133
58,171.0,0.0,11.0,0.0,1.0,20.0,1,0.0
59,29.0,0.0,29.0,0.0,5.0,4.0,1,0.0
60,24.4,0.0,11.6,0.0,1.4,5.4,5,0.15864614543500655
61,56.0,0.0,14.0,0.0,4.0,21.5,2,0.18873667018548004
62,14.666666666666666,0.0,8.333333333333334,0.0,1.3333333333333333,14.333333333333334,3,0.19643608186684772
63,4.0,0.0,5.0,0.0,1.0,5.0,1,0.0
64,163.0,0.0,480.0,0.0,81.0,75.0,1,0.0
65,483.0,0.0,108.0,0.0,6.0,36.0,1,0.0
66,1459.0,0.0,61.0,0.0,15.0,126.5,1,0.0
67,135.0,0.0,10.0,0.0,4.0,36.0,1,0.0
68,15.0,0.0,11.0,0.0,2.0,9.0,2,0.0
69,1121.0,0.0,72.0,0.0,12.0,12.0,1,0.0
70,128.5,0.0,18.5,0.0,1.0,5.5,2,0.10934474785479309
71,8.0,0.0,5.0,0.0,3.0,6.0,1,0.0
72,18.25,2.0,15.0,0.0,1.75,5.25,4,0.17309645263958087
73,65.5,1.0,20.5,0.0,1.5,29.0,2,0.11457184892267427
74,38.5,2.5,28.0,0.0,6.5,11.0,2,0.1653846828202846
75,77.0,2.0,35.0,0.0,1.0,69.0,1,0.0
76,58.0,4.333333333333333,17.0,0.0,4.0,13.666666666666666,3,0.14913452176286504
77,24.0,1.0,11.0,0.0,1.0,3.0,2,0.14360475726617256
78,24.666666666666668,2.0,19.0,0.0,1.3333333333333333,10.333333333333334,3,0.19193780122779375
79,23.0,1.0,25.0,0.0,8.0,7.0,1,0.0
80,19.0,7.0,19.0,0.0,1.0,24.0,1,0.0
81,127.0,1.0,56.0,0.0,1.0,31.0,1,0.0
82,32.0,2.0,23.0,0.0,6.0,23.5,2,0.16669975627369704
83,80.0,4.0,46.0,0.0,17.0,2.0,1,0.0
84,80.0,1.0,37.0,0.0,1.0,3.0,1,0.0
85,22.0,3.0,30.0,0.0,5.0,15.0,1,0.0
86,93.0,1.0,21.0,0.0,4.0,25.0,1,0.0
87,29.0,1.0,17.0,0.0,3.0,13.0,1,0.0
88,15.0,1.0,23.0,0.0,5.0,1.0,1,0.0
89,24.0,4.0,22.0,0.0,2.0,9.0,1,0.0
90,35.0,1.0,16.0,0.0,1.0,1.0,1,0.0
91,5.0,5.0,6.0,0.0,2.0,1.0,1,0.0
92,10.0,3.5,20.0,0.0,9.5,24.0,2,0.18842682623685214
93,6.0,1.0,10.0,0.0,1.0,4.0,1,0.0
94,3.5,3.0,7.0,0.0,2.5,11.0,2,0.0821577483022745
95,17.5,6.5,21.5,0.0,6.5,9.0,2,0.18274438705069937
96,20.0,6.0,5.0,0.0,9.0,12.0,1,0.0
97,9.0,1.0,3.0,0.0,4.0,8.0,2,0.0
98,1.0,6.0,7.0,0.0,1.0,3.0,1,0.0
99,10.0,5.0,9.0,0.0,5.0,2.5,2,0.19175396507663497
100,3.0,6.0,5.0,0.0,2.0,6.0,2,0.0
101,1.0,1.0,5.0,0.0,3.0,1.0,1,0.0
102,2.0,5.0,7.0,0.0,18.0,18.0,1,0.0
103,19.0,8.0,29.0,0.0,12.0,26.0,1,0.0
104,3.0,2.0,7.0,0.0,4.0,2.0,1,0.0
105,8.333333333333334,1.0,6.666666666666667,0.0,3.0,2.3333333333333335,3,0.1139030129378615
106,4.5,19.5,17.5,0.0,17.5,17.0,2,0.1423468031314987
107,25.0,3.0,8.5,0.0,2.0,14.0,2,0.13162453470461136
108,1.0,12.0,9.0,0.0,14.0,7.0,1,0.0
109,13.0,6.0,7.0,0.0,3.0,3.0,1,0.0
110,2.0,4.0,2.0,0.0,11.0,5.0,1,0.0
111,8.0,15.0,27.0,0.0,20.0,33.0,1,0.0
112,5.0,13.0,14.0,0.0,5.0,31.0,1,0.0
113,20.0,3.0,16.0,0.0,4.0,1.0,1,0.0
114,5.0,36.0,7.0,0.0,10.0,45.0,1,0.0
