L2_Label,N,Centroid_scaled
0,14,"[ 0.65151655  0.80396836  0.46136718 -2.59360435  0.74613757  0.50379933
  0.84313914]"
1,5,"[ 1.27823948 -2.04400078  1.63865106 -2.1191576   1.34097756  1.41947534
 -1.26104243]"
2,10,"[ 0.35961956  0.86248544  0.50401729 -2.71548173  0.94761083  0.58031567
 -1.23702227]"
3,3,"[ 1.33862821 -2.04778805  1.32602219  1.28840527 -1.98727766  1.44418971
 -1.21349522]"
4,3,"[ 1.84871417 -1.77915772  1.09445809  1.14100328 -1.723436    0.56397128
  0.42474915]"
5,16,"[ 0.60501526 -2.56449156  0.44295946  0.66008552  0.76930245  0.57592372
  0.705364  ]"
6,6,"[ 0.74300771 -2.49181538  0.70690287  0.82737694  0.79404891 -0.12331811
  1.27438388]"
7,7,"[ 0.31794172 -2.66758872  0.57367976  1.01031239  0.9493625   0.17268329
 -1.47583527]"
8,11,"[ 0.14536865 -2.70091727  0.09571847  1.01360124  0.85559446  0.864411
 -1.06949804]"
9,9,"[ 3.05537675 -0.83697598  3.67079002 -0.94206778 -0.79804981 -2.17666658
 -1.6440153 ]"
10,3,"[ 1.7923443   1.14012527  1.16445903 -1.89494137 -1.75773813  0.88385286
  0.53558197]"
11,7,"[ 1.12032864  1.58990647  1.88689704 -2.13290013 -1.99739872  1.09903849
 -1.91623969]"
12,43,"[ 2.23227612 -1.42607389  2.43249622 -1.51655569 -1.37664633  1.97114729
 -1.08299971]"
13,31,"[ 2.12327214 -1.45923681  2.49983853 -1.54889614 -1.40921807  2.16960014
 -1.83074094]"
14,22,"[ 2.41827027 -1.34511785  1.98029974 -1.4376074  -1.29713342  1.77566759
  0.64906692]"
15,4,"[ 0.57455844  0.99628262  0.87004546  0.44576054  0.94287447 -4.51332324
  1.17424963]"
16,4,"[ 1.38537261 -1.98187148  1.8916185   1.27269175  1.36099715 -3.74291525
  1.24942813]"
17,30,"[-0.68554792  0.31931201 -0.74183734  0.38670176  0.39701166 -0.30001951
 -1.02607904]"
18,12,"[-0.74294268  0.41762407 -1.08611223  0.38128818  0.40222039 -0.12758842
 -0.28644004]"
19,6,"[-0.56488016  0.28783547 -0.18194517  0.45264551 -0.28465247  0.07359503
 -0.2911719 ]"
20,21,"[-0.36823957  0.07619158 -0.41885696  0.22369275  0.23197213 -0.06453847
 -0.5885198 ]"
21,16,"[-1.33803819  0.35558405 -0.8749723   0.55929691  0.39058978  0.17698967
 -1.39183727]"
22,17,"[-1.43582558  0.39366214 -0.95997521  0.52488251  0.56323896  0.0934656
 -0.84589274]"
23,9,"[ 0.42494558  0.68569791  0.57886384  0.79701436 -2.53282837  0.62210685
 -1.09308671]"
24,15,"[-0.17330561  0.3278235  -0.46987351  0.28604669  0.17630475 -0.58025431
  0.1417285 ]"
25,30,"[ 0.10705377  0.1695418  -0.55692726  0.0941843   0.01930857 -0.09837081
  0.8849297 ]"
26,132,"[-0.46067311  0.33345726 -0.72052426  0.31725994  0.37384093 -0.43382936
  0.91796205]"
27,14,"[-0.65306519  0.51823827 -0.89025745  0.44624921  0.45820426 -0.66697141
  0.36489751]"
28,24,"[-0.10942038  0.12714843 -0.3701442  -0.07620666  0.1908843   0.04525153
  0.11533846]"
29,181,"[-0.26095282  0.26426198 -0.34898985  0.25162367  0.31421497 -0.63507752
  1.19961117]"
30,50,"[-0.5676488   0.24051406 -0.29478692  0.38961206  0.21596104 -0.38636028
  0.96402294]"
31,9,"[ 0.32040647  0.71607583  0.70267642  0.93355714 -2.55006228  0.43010535
  1.11765578]"
32,3,"[ 0.55922058  0.87193058  0.8138505   0.60757351 -2.49565957  0.2753021
  0.05172194]"
33,4,"[ 0.47240002  1.02410926  1.11689861  0.50125397 -2.45975731  0.03611416
  0.97609811]"
34,14,"[ 0.78892364  0.66412123  0.17399785  0.56541474 -2.42022447  0.74124865
  0.79305727]"
